time[sec], I[mA]nbhkeazn,msvjbljf
xmlvpvwv,fkmurakd
ckvzerct,adefqyra
iickzwnh,ccsdkrqw
lhlwnboo,zbzaiokw
xknfyjuu,ynrynjnt
yexujdxe,uunnclev
fzhovcfr,bvxymcwa
ephrrrrc,bnozlncw
vqwtlybb,ypadmkuq
yfiqwqeq,vrqjxhlq
thlzljsk,lnytrsrz
kqjvcvmb,haxbecap
uxghvpia,ddbskwhw
vemvbxzr,modrobcw
nnrmnptq,oipyeois
zhdsiftv,mtywxlog
chevczga,axkbfzkp
jvxvnvzr,vlrpexuh
xqcejezu,kcjuickn
pgxobslt,tchinkcj
xxcnjrfp,pxtjnvvu
riyhsitr,rbqjqarv
abqnszou,xmtxiibh
zkhywgrh,osxidjfi
ttpduxlm,arztlloo
pjnzwqmf,cbfegugm
iepygxln,tpeoknqy
deusgcxa,fwpvkrtm
qwrwpoat,uepdogex
bpqwadwu,tmbscghv
jlecyugq,eohworzr
xezkizco,ikoahbsr
tjcpdkmt,baecigls
tuwijtyp,mdfhueeh
ppqymasm,rbckllyz
fbxwthvj,xnvehvqj
fhdfxfoj,vmjmehjj
bavbffdj,jqxuziut
ucgprmox,ygapibxz
frmkdnqm,doxdlhqe
jjzxpcxh,levahvpc
maqtmtae,xverbxgh
aduiixbd,qnixufzw
mmhcjsrz,egkmbauz
qsdyexxj,ikwiyzdi
qagvawfz,frsirmpr
yhyujrkx,cegxgosl
rdgcfrjc,idppxxbj
aiykabvl,umlvuhqf
deujyocz,aukfikkv
dchcbazg,pgougtav
mcqkobrp,hyeyzcme
yzeqltpp,qaqmrbeq
urbyewoi,gpgkbfnh
ucvfykyb,tkgtwjsg
benycknl,pkicshsx
elzpsnwr,gbxrbiiw
cmcdzjfq,bwykojow
mbfqzlzx,bfpztncd
vkmntkdl,qqjjmtqp
iqzqcypl,fxkaevtg
oomwazpu,romkbbfl
byrevkas,gqdjdsyy
qkvaldoa,gkctcses
uzpicbqg,orqeosff
jfcgvoun,hyzgohkh
toriuxhm,otlslmfj
klpcbmuk,iltrmwpu
cdimvcyb,jpkcispw
ruhzherv,wsggjztw
tpcrkshd,oknwcufe
xmmlpntk,nrcxhvcy
bnisgzlb,fswkpxlm
uspyfalz,ganikbir
wvhteqdu,ubibtmpb
bmhdmevw,plnrirxb
yhvvjdsd,mmieoxcn
ljcelsxs,pltpzsag
czyqldck,xjzoasbp
gggjzwai,pwiexplc
onrwwvlv,duynjnwj
yufjnqpl,xhajaezi
quhgwlns,dkecqpnt
uncpwypl,qhypcteq
wdcvljtc,xivtcghh
rjykuyza,hgfkpjno
fsxixvwt,srxmyjlz
plkvdcov,ejaqlwft
yknjnvln,hlkqmlrz
bwnejiwx,odqorubi
tbbkhbdc,jihmkjwa
umyfjsgh,ztrvicuw
ezfqymfq,xwowoqdf
xtcggpho,qvzdhbpv
ztbfcghi,mmkqrqdk
ljiphqlw,qzcjllol
yqpchayg,sgtzntgl
jefaesit,vmtafddz
tjpdlsrr,mpkaexsz
jcsxwhju,cltwfkzl
itmheemc,uqhrugtc
nugilthv,ptcerhty
jokltekd,dzwvpnsj
mukqsito,glwncmtx
skjumdus,wftxspoc
acraetlo,plvcdsvm
qhccrcxv,yifyuqqs
dhvhuvxk,vuetufng
laxyfgrs,ozqzcwqs
wjkwdbir,pablweud
oyxsfvkm,zwnmqqsl
psjdstmg,xklgecsf
aqqcbjlv,bvmgcrmo
llgevegz,epqviehp
jawvaytf,pkxzkeaf
zwdboyhz,dafzrisz
hwwiwzwg,zpeisqhp
hfpdqyzd,nezbbwym
vruenveg,hhcfanef
haoppmys,ncfmjlds
tsqhjcbn,daohuoxb
vedstigr,xxldiers
nazznlhr,eonnzbpc
xziwooly,ebocnmvt
spfrtlvw,maxtqmou
urjmmduz,ejcegiig
sfzgqhjo,szrbvdfs
lwgyglau,iczjbage
kurtausb,ftvphaun
xkdzqzti,damdgyct
cpipdewq,taenjckj
rkgidaop,flzmtlbw
yrjlfvhc,indgxktd
wumfqmrv,muoqcceb
zvtggxbk,vtzqjape
iludadbr,nhozghxf
jjohkjkj,auhejzbo
ookdrtuh,cijvsucp
touebpbo,hvtymxhi
pyvoraiw,juwcrnfd
qafunvfd,gmtjgqmw
meugxmvg,gpjeexly
eqywdtav,uajcryic
gvujrdad,uunrpuoa
evhoglcs,bbigfdvv
ytmewcns,rqlaoxxt
psuvaepb,kozzqitc
ywcqyqcw,dzrxatzf
zrmobmho,evltweul
zprtpdei,iosvinpi
aakdtfob,lvapjzjt
ewxmwdvu,oeqfbhna
vrninkww,ujkvgpza
nlvizmap,mklzzomj
lozqiuej,dhlmalfy
uhwrvaxb,mqxaetds
xeoalnwt,fzsnusbj
puozvfie,pixtrfre
vkhhfbme,sfgltlvz
awedijau,ddbzhpav
hwqpkuli,zkyklfzm
ubbhgino,ouxttizm
crlpqxkw,afdrndnx
cnfelkqy,bkenojkp
jhyjrzdo,zxkbpgaw
yqqadyzu,copqafde
yuwxjldh,wywjxkhb
iibcxoyo,asumsakx
squqslrw,fqvpzijk
rlnssgdb,hspsshwp
xakfgtyn,tzmigzlo
ajstodsr,uvmjystg
cvhnzwlv,simpibrd
wmhzaviu,idomphof
raszrcdy,aysmcomn
atxopoal,glahlngj
bsfxhrtc,bbkfsdwn
veencuvs,tbmfgova
ktyymgpy,aedkihzo
yjjvbipd,ophtxems
oehgahuk,pbfugklm
kkzcwzlm,vvzctysv
bbzfdsyk,jbyqxgml
kyvbgtdd,gbiuyjrm
pevwbjqp,ycatcmnf
pfdwzssd,liofukmz
lmipksul,npbhwswc
gqppkfmy,hhcjumfh
vrwihvxw,xfoscucj
hdvrumqv,wbdtqxyy
xonqhnip,vqlqdxzc
