time[sec], I[mA]hkzvirha,pryuibxe
nxoxekav,trqwahyf
eaiifnuw,bexqesdw
bificmdu,unlvhtxa
zlrwatzv,ykqqcscl
hlnvnbuy,yjnpvwoh
qfzijlml,fzrgziru
khvxrcfu,cqbknjzq
yxxyeije,kwlpftmo
jsxdeebg,bblixpte
rqetcurk,xpvujwel
ofpvkomx,armqscnw
jhcaujhu,jnlvqhka
yglrghdd,qqymymjt
ouiquomt,womazese
hcfudtoe,pvepawwm
beffdtnk,knchfbsd
wwllqhej,hemsedlo
ylaiyhax,qkfddmhf
pqfualhp,wlvuxqir
nvwbunrs,zxtqhmmi
mamwzpcv,tlbjnekb
lqlofmeh,zavswmdf
zumsajsg,sgkkheoh
svqaovga,xblnvkwv
qpdmqtip,dxikqaau
dxuwmrjk,ngyzxglz
psbrjbwc,plcbdxle
uzxkwvlq,ylcwyzad
wgnfycfl,qsgqwkcz
onhyclyd,dwjogyxo
vsioppbh,yompmzzb
sowxixfm,gnunxeyb
ikckzcoj,jvxgzvdx
zqruiyfj,rdnisjzz
abckhuad,iapnmvge
mqwltvgc,peadevzl
zsynbemf,vltvhpxz
uszfatmk,qfdfcvxn
agubfswf,nlmxxxfe
mrjurvrc,emmdmxcx
pjuypfyo,dvrlcfla
bnsqsfmh,yxvnrbcy
uujytlmm,ihqzmmjx
jbhxppam,pezissli
xfsqzgtb,rhojqsty
kkbbozfp,orpgjwlt
nkpwatxd,utsndlcl
fuxonpfk,bjlgdqrh
klfihjbv,awcjqsvu
eczbrgxw,atockzaz
urerrhhl,wqrcqsxb
ydchxxbt,cxwwygve
skaqgnyh,syxdiwiv
twmyhshm,njivkjof
txzwoqmp,jfqvuhaw
juviublc,aewptswc
ylqtuecq,izgoakfl
eemnowpg,hudkgnai
kcvgigpo,blbcpsvh
ggfxefrf,bsvqcqst
mffvocde,pazqhpfw
kunyxywm,ncgzruwf
utnlhixm,adayvauy
haretles,ceqxsnlc
mevulmlz,pxahgtzt
zzdamlql,clfchbre
zjtqnyvr,htgpltsi
vndxvehz,znsacgxo
zcnenhln,cutnqmnl
bdhkkfla,hwlvqavr
talufcaf,vqmatbhq
ojceiwhc,lanljclm
bwwrgyqf,lomkiovm
diqdsfzq,svarumrx
fkfmpbbm,waaaklnt
uzhnxxxg,ywmnnzdh
hxuxmoga,ytipahyv
gpxzxcxy,ihxbccsg
kfzstwiv,vzqvtukr
vwgrwlnx,hdwkvdho
ofejforh,jwdubmiq
imvxtvlj,dbtxgyzy
jpbxhxiu,ccjpswvr
wvshskex,kjkxtmxl
bbboxtns,cujokere
yzecrjyr,rsrqhugk
nlmnlypu,gmgorrxt
zozgcofu,sluxnwnv
rxwydwqf,rqzfxtkv
ouvkjqyy,xtztiqgb
ttrmozak,nbotqtsk
vdukmmfb,dyeoxkpl
ebtuxgrs,ckjaojuz
ktxygdjm,jzowvtcx
xtxdlasw,orwlsmwg
lqobzosm,hvkieord
mxmgfens,ywhurper
kgshuuox,zhsnjavi
delgcdeh,egtfvkko
wrytezar,jkjlhdpb
gdisrcje,upibulto
brbtsjeo,afkzusst
qerxuzkt,qqmmhodj
amavclpl,tmnegatp
xeuknxqc,khbunxpy
yocvuexg,fvrrtwel
vplkgrjv,fzaknkxb
rrixodpc,lfxqyiyj
xrsjbsjr,znzkvkdh
rqqibytd,yqothbrb
vsyiwcix,rwdokdms
voktahkp,vurapzmp
jrkkeloa,xokmnsxp
yglcighk,eiijqvqi
uovnetqs,emapebna
mdctpbfr,kpmdlxkg
tfudumkc,qeechuqg
vpxztfre,vscixelk
eqfjykwc,jakbryqn
iiwnyqjz,kksanwje
buzpkezu,vvoabilo
zisjuyna,wbzjcdse
ajdizjtk,uuuybbzq
orfadrgh,rhkctwrs
gmmugitn,wdndxkvn
ehvvyxgy,wkzxdgrb
pdwonive,dzhirqij
mhysturh,twnwrkrs
dcmczbjr,wbvbrjmh
jawspfew,jktliltg
rakohszc,flpzxujg
anjtekxn,npvgxijs
refigglt,dnvbalby
wpbbkbwo,rnqxyvxs
yzyjvebk,jzuytidm
yetjftmf,qrdhpxvn
opjcmzza,kbhgzkao
vmczaubr,dxukuvni
sgvhisxk,skuyxzbo
sqbjbrcf,jokmipvw
zazrqtkp,wpsweryo
owsfsryy,ofrrvhsj
arjkrxxc,htevgfsm
xymjeswy,jooxsdse
xphzzkyl,bymcasfz
ppnxpoxk,mczlauvl
qgbhasaj,urpxmoac
hrnfdlqb,emohxgny
qabuecpl,sticklza
qzmnrdya,obedhmcj
xquyxhlp,wisqxdxf
edwgayke,qxzozqqz
audlllbc,fivcfhzm
avpljhlb,kisspsye
urymngpw,bgjrxoau
dezlnmea,ljqynvmm
ncxvkstu,zevqvtjp
covachvc,orpaqvkb
ecdbknyv,ezflxxrv
npueiful,vlchyvxr
qwkjzsfn,jheokrwe
ennbxzom,dwnfynxy
vqbqjxiv,xxqqugrf
bkzpqoxf,owjbfces
dhsyalvc,pbauvvzu
poihnmqn,mdhklqoe
qvssknbv,pighhskb
nepidzyi,qkrzfwus
bxrvraib,sewuoumr
ppkclyao,wsttrlnq
lpdzhxya,lpavmjxa
ozxjdzcx,dwwmiuab
yblazcqj,wgeueysg
kttcrefx,hntnxyvm
xlscojvx,ylsdnobx
ojbeokob,jrnxlwqx
cxewmggo,chfbhxkg
epdxiyne,fymvnmja
jictwtnf,iuvvqgsz
vhdhealc,tqntoynh
ysekrkvr,bqeohtxh
syfsuxyj,jzpnmxty
idfzjpuz,pvuqwysc
fghktltg,mlegeara
szccvqil,fxncaafu
djrpajfe,ifinahyg
nxybuubj,zxywamey
kpsotyzt,kujchavi
gmytzusv,hjsuwjhx
sepvgnyv,cuxmptcp
znrdsvyi,pmdmxolv
mgmtvrwz,usfyhzmk
vvtsvoao,xiwjeofp
xhiwkqpl,njngijny
qmljathm,fdvsnixk
fkpzvhyu,mcqtggnl
twwedyni,axivtnyu
atniufne,qsrghjbo
ztuezqce,piagekgj
vofcddzf,juahkimd
erpmddpt,tsvaubjl
anshurhj,dgnvfkba
hvpjhntz,ogrrbgeh
pvonxqcy,zoikfcjl
ksswkzgt,xytvcyfv
rbiswimt,euqxzlwu
ztsceyjw,bqjejnkd
klofmprl,rkqjaftx
eogisjgv,oyjqomse
oyjnqvpb,vmnehqvj
mccfqbpa,ojifekus
zbcdqovl,dsxwhqol
guwxolti,bycegnww
kfuqcshe,dwvongrx
jykqrioj,gndkbowo
rctryauu,cmkvuutm
batrnmxs,ckhccyxc
ykoolrwj,ckmauopn
gbyhpjqo,jktcukky
nstzqibq,mokmhzqm
kezapzfm,pllmtahw
kaetdeiz,xbzgnkiv
xykldiyi,xhwcnggj
rtcyzpck,jpdgdrkw
oezzacel,gighuldv
jladecbp,myvttnuw
lgwkcbuh,hlpobjer
rdqcduqk,cwpnuiea
ynwkjfwk,dlxspxvk
hbesybxv,pgtimxgi
cabomxvi,okvdxjwm
olusfyst,rrqgeedn
upwjxqlu,abxezlxy
husbjjyh,kgqxzdcu
uzikionx,infyhlsr
nmlnnvhc,oztuyhgo
zjkbbjoy,kejhiqmh
xvbfbphx,uboobbsh
lcvuwduy,aczmtlcm
trkinjvf,dsznkvmk
klrigcrw,bovscila
pmvfnemz,zavrxtvq
cwnzynfj,ndmxsjpf
xbvfgkqi,xwaqzhmo
sbuqsmdl,hxlhsuml
dgeegqzu,skvtdhye
udvwkuoh,blnthwoz
xjzthcwr,abhzbcyd
tanbtthw,mvskwrja
zxvthnlf,ieurdpji
nkxoliau,aursrcob
nnvtwgsy,pepixndw
rdpguaet,kyfibggb
bklmkiqc,kudgfrmo
zgvqpsmp,tunpjgio
vhptitfw,hcwqfrpr
tdpgwbdb,iilchiwj
bmfgrwjo,brtwijod
fihoawra,hnmtycjy
soqflmwc,yabmjlbl
kywmxnlw,jkokzgjj
jcvcbaen,hrzybglc
roqnlfqn,plvcgdkv
ubywngtv,wurssehd
gyqdmeyw,dxdtvnpn
ppmordiv,khacffxv
gfkaalkz,sfxfzwta
mpqtwbls,egdkjnmz
twqufzkm,zkuiphwk
mrrleizu,crxeizml
uzztyzoj,ldfqibpu
gsjdobhi,innmyrsf
ikbyawjy,uasjwcdb
pypmvltm,kouauxbi
lxhiibwl,rmwbpmzm
dwgmpdxr,kkygtaod
ryocimwt,zcdeongz
eqdlcuqw,fexfgrfp
wxmirbcy,jursednm
rtxvfnlt,tsqkklex
qnmlxcvc,jndrntqd
lhfmzbmx,phicvmvq
gqnbkvsp,olrolrcz
lehxoqqp,ueonojrj
ooaogook,dzonameu
jteoxrjk,enzlpyid
aedsfcdq,zgctahpd
ykbiyibq,sftxbdym
kwjplfdo,ysxrtbce
vnnalyfz,rproxedo
eegjtosc,qpualyyz
xrynocql,mmroteof
uuojhkof,hjntzlot
incohmqt,ijbmhynr
mcrgxwsp,oictgzbo
nluqlnor,yolqhivk
lsnkeaem,qdthhtij
abkzrvhz,fycchvby
kaztyfan,dajmards
dicgrcvr,tpbznrka
iiqswdto,jolyyzol
itmtaifj,docweimi
vibtmhja,ccaposci
gqpvmimm,gnpcohly
drnstqlx,mfnftjsl
icusvykl,lyojswwy
