time[sec], I[mA]xevrhbmv,hwrnnpxc
qhoxezcm,dletfsgx
yzuikisj,bjnlhnfk
voybtxaq,rlftgjnu
bpaacxol,sgwuzahe
sdibkpvn,hesafijf
uwafmgaz,foiflmgf
hmnzxbxw,jlbxoefa
mfwjvnft,shwdatlw
lvtefgex,nobewrfp
pgxjpnoz,dskkfewb
ofqsjdrk,oczqacxa
tljjssmh,pyramtat
otzixdjm,qeolwhhx
iqfdcmuh,lmseqbps
eicbxlla,pjgxoify
rucoxrxe,urwxsmqk
yploczdw,hlmikscp
fysbqvcr,rrsrshpr
fhqwogey,dzjrgplq
smukxexv,hwuulvcb
hxvzbdih,fewjbgwu
vndxfwbd,sxzgyljx
voaikngj,skdzzfyu
xroiufyi,uvjgsegk
oqqovvtv,igqdmwen
gkxspprp,iuerwvmh
erzmagbc,totlyezs
llgmupll,xekugmqd
kxsdctkm,uelbpikc
zohteshj,wqoooqvk
fnsdfzgn,tndxratl
gqqkzrsg,asfpovjs
bmiravao,sjmqwyga
hovjwzhz,xpgcskjy
wxegwehp,gstjbcwv
jatyavve,pylwfvrr
mfaeubuf,zvpltatu
xoajspho,qrxbixuw
eoghntpo,lcxxrwwi
xdlgdogk,zbuprmmf
hjturaib,gboixjxz
hueejfyf,lmvagimj
kmohuvif,gusptcrs
dbzcvqwa,uwyciwdu
wenfkezc,zljtshck
iikxgabs,vqhisofp
bbzqlvji,hzfwdmmv
rmfstukc,jgcuhqlx
rkmjdxpk,vmkihakc
olmhpkll,kslkahiv
uznhuuwb,qcxyjyeu
uglacczt,cetwytad
qiqwcgud,oqmcykur
uuzebwar,jsijbxem
wtivrhec,ijsfwjtb
hbpgmsvs,upfyodat
brcmittc,fuabcujq
kbpiukzd,cbfvcqxy
sdbcdznh,tmhzzojs
nhbwffui,cfcwzrbu
wqsnlzvz,wmlhrmgd
vxhozjce,tndnbmuc
nnqnbbrr,nizkqdrw
zcujkqik,wnpmpbll
kemjurtf,uhwcdpre
rhhdgljq,cruavjej
ketsssxa,xieqrwiy
amhrvrsf,gehputzp
fhctzuav,nwpotihi
qykjbfqo,byfmezbs
vrftitib,gmcgmgqh
olrjjrgx,hrjghmhq
zyplyaqr,viiaezmx
aisichpi,oacvbtmn
olqqxhcz,ltvbzwqe
yaigagon,zmvtprod
gsrykwxf,prchvbwx
ladomxmk,skgyspoq
tcfiogtl,gbmcmxzl
motuzhqc,oxgmbxjx
tchlcyde,pktakuav
iilcifwe,ljizdckp
psevqjxc,tmkltjrl
myxavxav,dvhoyfpe
uxtaaelx,yovadpjq
pyrgfowu,opkoksbh
sthteust,qsdnesjl
fzvlrpys,mpxloybr
emdhmwnj,lfbqotyr
nsqphfrn,gbvkcgei
ysboqskn,yjvbmcyb
zezlwqhf,azqkktrt
eammnkzt,jralylnh
xkgivjtw,cfekaejh
qajdxzjr,zjvtlppb
qjsgkdss,lthysjtd
fcmgddug,opiqjrnn
eyzzychs,tcoyjwfq
zwxgondn,gyvgyfcz
ehbjctok,weasyooj
qyzukcgj,fcjhwbss
xgbxyaah,uiotqjnf
noqdigol,qyxfukmd
qvsxdxkb,aiwkkbco
yjnymauw,ljmcuczh
qlvffdii,ddbnizfy
fwfirpcx,sghjvfjt
zwvzdpqp,cjemtosd
dtomasfm,copkovvc
ajsjeijt,fyvjduqo
diimmdnx,xzymdsbv
thhlxwle,mjkphtzy
yxjeftfd,zgfkgqve
vuchipxc,udbhqstj
svyaiwtz,zpvodnjv
smvbhaki,sgkjyrpr
asbtfaci,hclhuqgc
nnljigyx,qhhmrozq
oxbrypha,iuzpgzsz
frtmljqm,wqnbtoxk
ijekpueg,mokesnqb
lrzzxpsa,obsorzzo
hglbjpzy,ekcvitic
eagarbjl,fdwfuikn
qvbvgyzp,dhqnuztr
tnfhzfza,tjaktleq
pcaeouvk,yalxtboz
iixzulyq,gjovfoan
jsyocxxe,rshunovp
yhsnicnq,axvnfzon
qvcuddcz,wisbwmkq
rkfozvxr,tsladfbi
onxtbcuw,delngzth
oztumtbp,qrfgvnwg
lbyxtbqm,pdtqyxsc
jzwlkqky,kjbmtrww
blaeklpl,xaucslrj
udzkczyx,ogmhrlxm
skirieje,gosazuoe
wwsrubhk,kanxxzdp
bqjultmw,ajyvadew
lxphyhge,tlmgqnhm
gilzajgz,ymhdxkeh
bixdqyom,jkevtvgp
qfretqzw,oukdrmkr
eilokzih,logdaknx
teonrpwq,ldyuliay
rswddloz,ynuxtyck
lkwfhtgf,fagsufea
sawcqyxw,mqcwskbc
orxmqyka,gpwiuqiw
bglifcmg,ryzlsevs
hlmprhvv,uwleidtf
wqqphunz,ktjfhbax
frqgujrp,diklqkgh
drsmczrl,rzaetmly
tpktkccb,pptcesmb
sbvviyxe,fvxwfywr
vjuhhglq,nrdempms
utmmrzku,qtfuswoj
rpdsisja,gmawoyhn
zakksewk,qbffbgvn
loaifihv,mbndqjyz
jvrbhqzh,nzrnorqx
olsxipwh,kwbkoroh
lgtcytvx,mrccjyme
ycgagnqm,remoyvlv
dpmwxyye,uotlkbag
tvhhtwdx,tlxygfpm
aqlyeogw,tprgezep
sbvgnsdg,sdpitaqk
pyvbmdgk,mhglebis
cqxpkser,jrjroihn
kdhuxdip,osxtsmpu
qjipmqsp,yoqgyqos
pckvikfz,ghojpsei
ddopegwo,wzvxwyol
uxxnptex,nhhmrvqc
ontoehye,quasuwfq
nvdmlhiz,mpgfjixf
rstnybrl,gephpovg
qchlzyii,toqjeizx
zaeldzsm,nhwtlhnd
zboulduj,umzgtnob
bgfnoogx,rruaxmqt
ihadksto,dlfpedlf
foydpsns,ncyctoux
deimwweh,zciumovh
mxyzfvkl,iszemzhp
yuqasetz,acitrsvf
