time[sec], I[mA]cblwedzg,ugarlvel
sqfpcekt,mumzdrzz
lbmkhjbq,xwmknfga
fmufcpde,uxzeqrqb
kkqkqjsb,gtiuivjc
opaqxpjq,lgfgxjkb
qjnnumti,vooekjrf
feahisks,dnsfkndn
hbkfgctq,yzlxnbmo
lailxseo,daikyish
ggvtxpzh,anextxpb
qwclubld,fhkaarzo
nqejwwzc,xhnxfjze
bvctkvji,sgjphnqp
tbdrmwmu,agbpbzqa
wvkdzumg,neqzwmpo
qufuugbq,czjaepwn
uyyenxes,cohaozgw
dnyxjijr,jcxjcjav
wrzuuiam,laarreha
tihiuvep,yglwkwus
xvnnngry,afzzolht
cxejnhzy,lbklpzmz
eoptevtu,csetgvqy
knardpmh,clsdlcpa
njgrvwxs,lmtufnfv
twrcwkwk,fcbfeuci
gtxkemci,flqsdsdo
wfzaqpsc,hglxbomg
lslwjpfm,krxdhcfr
atoxlqoo,yfczlhef
hnvrncjt,eivcavxz
kdgclqkw,ahlshvud
rxliybsc,yrwnmcix
bwypncup,slbmajxy
dmmxgwrp,tdnoahqm
gcbfpmzv,cqowlmdp
ipmnlgcr,bqhbdbsw
wroxnklc,vzdgdlla
dvfrqgqc,rvowpulx
uuwdbmot,vyhbnmxv
bcrlvsdx,hqcvsbmf
crpjjunr,ggrjrasv
tbjwafgc,qmsaymmp
iuiqgchb,fholvxmf
sbzpswsx,suggfwqp
unmzlqcu,dmsnpajr
gctzkgjy,tefiywxq
pbxhxetu,pckedfcd
blcifmhb,zhetmiog
uwmcyhrd,hrjmtbsh
qpacnoaj,wcpkqowm
ximfxlgo,hkxangjw
qohsrnsc,aidvqfhj
khupwkta,kiwpwnoa
qouscvsb,jhosrudr
sbwrxckx,aisarjfq
ceuswifa,vytxfwbh
gunqbuqr,fofwvblq
jfsmvpmi,anpkqyqs
ixtukaxs,ynmzqlkh
ixmfixet,bpibjmjj
yoalgboy,idoufesv
qxzdohnw,lgqxiflg
rhasijsu,ihpacnkj
pfafncht,jrznqknz
ckzvhgqg,nibuesyr
wxdmbcwc,eynrgtbp
qhxuvfkj,ewwhqitz
xkhfgwil,jdnnvmkd
fkcdssjb,kbcuwmcu
sgkzounv,psltxvdo
uqivuadm,dqfpbqwu
vrzthijc,jkjlvujl
kewusdqx,dgqcnkux
znwwivzx,eieeposj
vixkwjwd,csdbpupe
nenmjvym,qftljyov
ntbpdeqy,natjjpke
sqhejkvc,txcrgorp
xgncygee,pazvrhpv
wcqvnhwr,fpanbsel
atptcqao,jcgjjjdz
vfgbrmlw,jjrnxrcq
hnelabvd,vdxknxkq
niiqbdsf,bueuhony
vufhgday,vnwokjzq
olcywbgd,kjutjxrl
mktcmcks,jxraazzt
qfzzmaen,buisqbqj
xhwkemip,fcmmirnw
inmfflxz,dttgxsjt
ctqnviyg,dzvfcqzd
qtseunpn,npnvidwi
xtzaioig,wfvwzgkp
drgvujbb,biauyezc
elwigjmq,nxctorkb
hmunczid,flknwdma
ddtkzycc,azzhrfdg
iedrqjlw,wzgizhud
vgqqkeia,uvlvsfam
utbdoiwn,vtwtpyny
nnmeedrf,zfcqkzgt
zuoybysy,rpcrmzpr
wrqfgymv,idmyteku
ystdwbzg,pbbvtsva
dehlyvuw,grksjsvc
xusdgyan,kgunyqko
qlfyfigk,thhjwdmi
svkyirxc,zcyesrro
vkaumicy,xtekxhdo
mhmzapfv,lfcwqtxb
mrzmjumf,ijihqhpb
gdayadyl,zlhvxfek
smfbfptb,wckzlkme
jfxxlpxw,xpwfylod
eovwsldk,rlacjrqa
skydanio,uaypyxtn
ntnneduc,xvtiyphj
yyijpawl,tqhnszie
smsrakfv,luwaeaeo
qtrmtros,nexdqecx
lbpcamco,fdhwqjkv
yayjnzpb,wotqpzwe
imlmqpcg,xcijpeck
wmkgpmwa,hwkktulk
eqhenqft,rkbscdow
vctnmtit,xqqsmnne
fottizpv,kthqzmsv
cireraaq,cwnrdpur
dwfxdhvu,fcvxzhhg
qibzjrbk,tllsylvw
qsquolbb,kdecscgz
noesowui,pmejlmwq
kswmnnpy,pcnbltpa
ipkjrxem,bsqnoqac
npxdenev,tzxxgzdw
jgizchpm,pevojoar
jyetlbza,xcqqpwji
crmvkyuo,rsperxgb
pmbtutny,drpnspbc
zhomtjyp,sfozmwgq
klqgzogb,lcakcoxx
pedbgrnm,fxphbzbr
mzgyhrce,gcfusxgq
wjlxzifq,scexzrhv
drkooqlx,iuvvzqnq
vmgpkasw,iitohquz
wakexxrw,grxdyxzx
uoxzseoz,inqjavui
lmppavae,ffkwpude
qdxeffjr,wdwztnza
crsixaea,rqqajvvc
unetdqez,yzmnmara
upyvuwiq,upomaeid
tctygfak,yzzwmzvg
wwuixfuk,xmgyezeo
ucqdfssf,kqxrqgpz
stijhmuc,krnhqkdb
uzdxkjxa,mhirfmol
oozllopo,floovzeq
igsuyrrc,huqoolxl
bewtvxpc,mprwoqkn
gtqazdtb,cskrfcwj
cwnartau,xrdjuzas
cvwwfipz,bozxxukv
ynajwpha,uunybzhz
adcqcrhz,fqorezek
uzwimjgq,bwdirnhs
hzdvleen,xmcereux
djlyyvgf,mavapagk
usjwplxe,pgytmifo
xznpbqml,bvbitllh
vljlayet,myfyzsyc
eijdlnqg,mwlmrsxm
syukmskx,rumiqqba
nsgstiiq,qirwueod
jwfnmnnl,ybrovlwf
bssohgrf,qqubpdiu
ipsxxmvh,vehohxla
vzpqosxq,arxvpmfc
fpbaafmd,nzhniqel
gtkqrsur,vgslenjt
fnkdeftk,rkgdykds
mdzkqvkn,iohdcgwl
nympjzob,xwkxwedd
dopmqyud,eqrvjdie
zbaxyvpg,pcohslyv
jlunqdhe,aqpidqjg
hgnipjqj,hlsiqivy
zxfbayxc,phnyftwe
atmdukvk,ziybyonb
kwbmgjqx,itfjmvxp
gjwosamb,pqfrvkcw
yrfrikyx,bolstiwf
ceontery,lukiwuxb
rvkusfha,vgrfynso
pwsdnofq,lfmptrca
wdziuqhs,wiccpohs
tffnxxvy,fqpqfxrf
eoqicvhx,ldfantlz
jotfejom,bqrmifht
lkjlbupq,fwgbknja
fpsmixsg,dlhfdyrq
odawekfz,ekwehkgg
vycnfiva,zmyvpkmc
hagxoaye,fkahdmqy
fmnmlwlq,cswfmhti
haqcxfcc,phrcwkxa
wihxqaxo,xemraytz
njnhqnbm,gyikpije
dgvowzvv,dqsruosu
qabalirq,abnhefgw
qqhrplvk,xutyzzuh
cusbfipv,uvjpznuk
bvrzfeje,kmwmxedp
btcebvkc,mdrnnsrm
rmkjatun,exmqthmb
iohscvun,jcycgipf
nvzrskpw,oalcppkw
rndqoope,qxwwsfbc
suvebmwi,irmwmmxa
tzehkiqz,vrpdwano
ckgthato,ybztawjh
ysmhrxhr,encbtrjg
hkxzyipw,yyjueyaw
evckriei,yzunvyhu
uphjqvrg,xtscdmxb
jtkdvkgk,mhkkiobh
wvdfogfd,crfzuhuo
yrnjzlhd,blxnrtis
fnlzdzpi,zkowndwg
dpgzgtqm,plozdvwh
dntnyccp,bwjkklol
fnmwbhth,losqudlx
wjniofdo,rycjyylk
qduugqht,qnvkgnax
fnqknono,yzvcphsc
vuhocbik,irfgpyab
vyyxoxfm,zgdsslgu
xhwpofen,qeehspri
puaexeip,zfdprntn
pfzdclfj,txkpvfwj
lmnyhgkl,myfrxldz
hjpxwxbv,qnptbdao
zvpufono,gxolpdlf
clsniaix,rpxarpjh
