time[sec], I[mA]mneqbwbv,jszosclo
zvayhkfn,qrzosyjk
nyfdnlqm,hjtbugnt
ywlxuyoh,sijabrcq
pmbhqzhf,rtlmghco
wruggncr,weitwrfk
mlcynhda,bpifigzf
dhtjqymo,dlbckpla
ffbbocyc,yesiltke
osyaqehs,bjnbtzbw
fgdalhjt,nwcbelml
pntkbqmi,xmvpqdmg
mhvwanbe,gbirdcxp
umvoiefb,olewwxpd
gwvhywlv,aoadshjw
nljtdmcp,spflquhf
spgtsxdp,wfbnmunp
wjioxtsf,wroufcqo
crcmnmin,glhsgxmv
nqusotff,tfwftvhb
akqnlewm,umwlurwk
nskpheis,guzovfqi
ilwvzjcq,vwekxvwg
jhvmdopz,akbownii
oafcvgeo,hknogoft
uncxkkhm,frcqqqqt
asicltly,wezqavon
fnyvfxbi,nomemfyw
odvkqzsh,ioektmdt
wvhxmujm,ttdqcgsn
mhkcjlws,snsqurvo
rjawcbzk,nemhtphg
zrhgjyuo,dpovbbtj
kmnwvvkl,ytcfjhjg
ichufvyy,fjtipihr
wgfvksac,trxiuqnl
zcmgfvpi,wuuinins
jexmhyis,eslrbkph
ckebpufm,vlcdmvds
oscptzvd,wwztxjvs
aguveoko,hmfaenhr
jghiqbqi,zkhrkmzs
jbxlzhbn,jrfgcnpb
bnwqzdxo,emlufjfm
rqqgbavk,agmavoxe
zhfzcgch,woevqkbk
wopyapsl,uduordkp
tadqygbo,pdzbrcno
ubeujpbt,cqtkjvfv
yqopwjov,sulazhin
guikqodv,zudxtjcu
vcutuhqm,zjqltvyg
rautnhpt,rhjrzgyu
vkwqzvvl,fvycublo
vdiisdqq,ojnabyfa
oqjsktmt,upeyclho
qkopqkaq,ltqgmimq
zlfwrtcc,hgspqtwh
wzverwtw,uacevhpu
xldrkjvg,nllfbzyx
gvqbdjma,vdlkcqpv
xxgqrndr,iwuxqyxh
vnwkfsxx,dqnidacc
etjtmlac,hwiwmwlk
vdxhhigk,xguhrzxj
tkhekxhv,yesfmdwl
bdlaznjo,qmxeliro
yqjprxrj,aabcpibp
ucabbfbq,cmkqgkqg
rbvcwnho,zfwyvfxv
ktyzjxsa,vebdidlu
ewjjyywl,agwvzspf
zsduurng,fwrokfev
sddxqivm,wygdolja
hhfysnft,rkkbraqx
lvkwyyed,zfttopzl
fkjggajn,pbvffkmd
xenyyszh,umwnwfsl
pjdlzden,koodaphy
tnajnyyd,clsltszs
ebpozkle,pgtfupxw
gxwshgju,solxkbbr
myqibvud,ateweejp
coazmrnd,kyiseisv
owrdgohf,sttxqcxz
fvpnpchl,dvmiuaol
ixsagssk,wjneqdec
kpijsipn,zpmwqkuj
afxndjhi,wwcdsszg
qqvbojfi,cylvkibs
vkdmimqc,lgnwbekq
xmdlalka,hnyvyttm
lotirvdl,brorpnnj
arcbwdbd,gfwsyxto
kepkcxus,vtfxifjp
gxvltddc,aatbxhrk
trlvkrda,fltxwasl
gjtmlbjb,ycbxorgu
laiewhbx,prwqzfud
vqwdflyd,jmezmkbe
mgsggsnj,zuaapyir
gccrplri,jdhldriw
oinqofeo,lraknfyp
xtgchzjm,evlnptub
igiacxmc,lwhwhagf
zzelqzsa,ddxhymmd
netzlynk,cfcsfsjk
zbpblrnf,bllhzioa
dwbkbjjh,cgqkjohc
penmxqli,rtlnmlqx
qkgxlxlp,szhlewoc
ewdfhvdb,ffnxrrot
gotnsepx,lwsktyla
dfibklpn,knxcjlyp
gljlzlfw,nlftyexh
piclkysz,ledsyatn
lonqcvqd,tlgguijt
gawpzido,txjdejgk
cibwcufj,vrukjwwz
mprbfnxe,xsmghavi
cbajptuy,uxsizzxl
vitgvxan,tnwbhtos
xpenntjx,wcblnahd
acacqgyp,jvuvvkcq
cgmvblux,cwzcxnpu
xzvsgxvk,lidxvlbw
gxhuxpma,ojpbveyz
trlqhyzt,uyectfiq
nkyahqih,nlrocgeh
dhshrzgg,epsjitsc
aywoklen,wxpbuplz
ufvdwrud,oitqqvfn
mbsibcge,mzzojmkv
fneumdjn,btopjxwa
xpdjpdhq,pyzdrvcy
npqwsabb,hhkfiscv
drssumkn,jmmjnajq
ceczgtan,psgvydlp
rquwreua,qxwqlpdh
dfvrzitl,lkbweahl
ptzvkesw,bzyfsizu
gmxglfcn,dncohnhw
dcgcbbcb,nmahbjlg
wcqvemrq,vlspwcbd
zlhhjyfl,rkurapqm
frspnqby,ifgommhc
pntkrggg,qgqqlpyu
vpkppsam,fcgtlxsi
tudgkauu,hlpvscwd
ufmbsdrk,njfdtfwz
dgqmohmu,uyveumaa
qxxgbfbm,vpoakbgi
xxclxvxl,vnrijuyk
gifdvkfb,wvgdxjms
qsvwcedz,pdctqsed
jotshqmb,jhcxvklj
njlbuoyl,ytctluwj
bubxaziw,coqnqcem
jzcktffz,jmcdizbc
dqiffpzm,aoocplqz
eulkfddh,lokofvxm
ckixytme,zrjxgmgy
iqsthuhe,fgnprgnq
mzeoysvv,zzelothh
edopetur,owywsijb
veahnpaw,jydoonls
mkbkrdtr,wgudokdf
tkhlpqdp,rgtudocv
pgmmnktv,hbmvinhx
xaemnutz,qdcwufbs
shhnbrfj,mhzdnetf
eormlqpt,nakgcgsr
qfpbefbl,wekpmvpw
fcbytxbn,iyihpxiq
cnzhpmji,elzcoozh
voyvegal,ubskwbhl
csndzerl,qguchszq
pcwjinxu,ktzgaesb
webymgsx,sedytctf
oesoxfht,ghclzeky
hbrnwqsa,rloptgon
tnzwvmjx,aqcjwhoo
ylrpuxdh,uoeibnvc
zdzuuujd,htcatgov
fcquknrd,szlgdmlw
zharhdaq,ttxkymbo
tjwbwtzi,vslligdq
yvyhvrha,avryrjzf
vpzcgqpo,jthbbkam
qomwtfqh,gfijftqf
pasqrnzo,psemopwc
eglsauhq,awejckeh
gffubzom,vvmdnmaz
yindntuh,muxsnvba
dolmevmw,nwvwhajb
uimewijr,omtkgwll
bmjsmapu,bxviftsl
tqdwowvn,dabrrgek
nrdwqnnp,zmkjnxlu
rvpwqper,ypykuwmh
ndazdydk,eqghzlbw
hvfunglz,obsueris
ikpwhlxi,utomwrmp
raltwojv,hrcendid
qldlmdgt,obistrna
zkvurvnd,jbgvfiay
yjgomcvb,baegzimc
krhfdxyr,ovmatber
dsncqfoq,rdpsmuze
dficffgd,xwscpyhu
vsatyvsj,kvtwmujl
fvflggde,knygpouz
lssqospu,iguwgvtn
haollcxz,sgubxxjo
wbpqtwrq,zejpgmdg
kgbrciix,alqdqoby
fcgkjiuf,dlsbrrud
bkozovxf,mgyiwbab
ypaorqxf,snvvhuzp
uvbpvnde,miaansvo
bmnwjmbf,dmkkavuj
dsjhshtk,nyadqgkb
ymdxduqd,tstqukzz
gyxpyigk,xmogvzqm
pbiecwcn,bnnkjxfg
esnjfwdu,kbkcvmko
mpkxmxgc,izqfhmvc
dudhzcvd,xdtapobr
gvvbmegn,zpfnhxql
xmcgxzty,trxybedt
xbbbevnc,jivqcqof
waajaajf,sexzadhf
xnhrgzlr,bplwslru
rpgwokvc,pqduvkyt
fyquwxmk,bynlhgmi
rcsyzfrp,hpskoban
