time/s,I/mA
5.923069850370666E+002,7.1938266E-005
5.924069850345404E+002,7.0919908E-005
5.925069850320142E+002,7.1365444E-005
5.926069850294880E+002,7.0792616E-005
5.927069850269618E+002,7.0538030E-005
5.928069850244356E+002,6.9710622E-005
5.929069850219094E+002,7.0792616E-005
5.930069850193831E+002,6.9583322E-005
5.931069850168569E+002,7.0156151E-005
5.932069850143307E+002,6.9710622E-005
5.933069850118045E+002,6.7928500E-005
5.934069850092783E+002,6.8946858E-005
5.935069850067521E+002,6.8755915E-005
5.936069850042259E+002,6.8755915E-005
5.937069850016997E+002,6.8246736E-005
5.938069849991734E+002,6.8183086E-005
5.939069849966472E+002,6.8183086E-005
5.940069849941210E+002,6.7355679E-005
5.941069849915948E+002,6.7292029E-005
5.942069849890686E+002,6.6464621E-005
5.943069849865424E+002,6.6782857E-005
5.944069849840162E+002,6.5828150E-005
5.945069849814900E+002,6.6337328E-005
5.946069849789637E+002,6.6146386E-005
5.947069849764375E+002,6.5700850E-005
5.948069849739113E+002,6.6082735E-005
5.949069849713851E+002,6.6400979E-005
5.950069849688589E+002,6.5573564E-005
5.951069849663327E+002,6.5764500E-005
5.952069849638065E+002,6.5000735E-005
5.953069849612803E+002,6.4427913E-005
5.954069849587540E+002,6.3855085E-005
5.955069849562278E+002,6.3791442E-005
5.956069849537016E+002,6.3664149E-005
5.957069849511754E+002,6.3855085E-005
5.958069849486492E+002,6.3345913E-005
5.959069849461230E+002,6.3409556E-005
5.960069849435968E+002,6.3918742E-005
5.961069849410706E+002,6.4300621E-005
5.962069849385443E+002,6.3027677E-005
5.963069849360181E+002,6.2773091E-005
5.964069849334919E+002,6.3282270E-005
5.965069849309657E+002,6.2200270E-005
5.966069849284395E+002,6.1372855E-005
5.967069849259133E+002,6.1118262E-005
5.968069849233871E+002,6.1245562E-005
5.969069849208609E+002,6.1181912E-005
5.970069849183346E+002,6.1372855E-005
5.971069849158084E+002,6.0227208E-005
5.972069849132822E+002,6.0927327E-005
5.973069849107560E+002,6.0418148E-005
5.974069849082298E+002,6.0163562E-005
5.975069849057036E+002,6.0227208E-005
5.976069849031774E+002,5.9781680E-005
5.977069849006512E+002,6.0163562E-005
5.978069848981249E+002,5.8699679E-005
5.979069848955987E+002,5.9017915E-005
5.980069848930725E+002,5.9399794E-005
5.981069848905463E+002,5.8508740E-005
5.982069848880201E+002,5.8317801E-005
5.983069848854939E+002,5.9654387E-005
5.984069848829677E+002,5.9718037E-005
5.985069848804415E+002,6.0036269E-005
5.986069848779152E+002,5.9590740E-005
5.987069848753890E+002,5.9208855E-005
5.988069848728628E+002,5.9017915E-005
5.989069848703366E+002,5.9908976E-005
5.990069848678104E+002,5.8826972E-005
5.991069848652842E+002,5.8954269E-005
5.992069848627580E+002,5.9017915E-005
5.993069848602318E+002,5.8190508E-005
5.994069848577055E+002,5.7808622E-005
5.995069848551793E+002,5.8063208E-005
5.996069848526531E+002,5.8063208E-005
5.997069848501269E+002,5.8063208E-005
5.998069848476007E+002,5.7808622E-005
5.999069848450745E+002,5.7172154E-005
6.000069848425483E+002,5.8508740E-005
6.001069848400221E+002,5.8126854E-005
6.002069848374958E+002,5.6662975E-005
6.003069848349696E+002,5.6472036E-005
6.004069848324434E+002,5.6790268E-005
6.005069848299172E+002,5.7426743E-005
6.006069848273910E+002,5.6662975E-005
6.007069848248648E+002,5.7681325E-005
6.008069848223386E+002,5.6408386E-005
6.009069848198124E+002,5.7299447E-005
6.010069848172861E+002,5.6917561E-005
6.011069848147599E+002,5.6535679E-005
6.012069848122337E+002,5.7108500E-005
6.013069848097075E+002,5.7554033E-005
6.014069848071813E+002,5.6662975E-005
6.015069848046551E+002,5.6917561E-005
6.016069848021289E+002,5.6790268E-005
6.017069847996027E+002,5.6662975E-005
6.018069847970764E+002,5.5644621E-005
6.019069847945502E+002,5.5899214E-005
6.020069847920240E+002,5.5835560E-005
6.021069847894978E+002,5.5962857E-005
6.022069847869716E+002,5.6217446E-005
6.023069847844454E+002,5.6408386E-005
6.024069847819192E+002,5.5771914E-005
6.025069847793930E+002,5.5135450E-005
6.026069847768667E+002,5.5199092E-005
6.027069847743405E+002,5.4562621E-005
6.028069847718143E+002,5.5390032E-005
6.029069847692881E+002,5.5835560E-005
6.030069847667619E+002,5.5135450E-005
6.031069847642357E+002,5.4308035E-005
6.032069847617095E+002,5.4944507E-005
6.033069847591833E+002,5.5135450E-005
6.034069847566570E+002,5.4308035E-005
6.035069847541308E+002,5.4689914E-005
6.036069847516046E+002,5.4944507E-005
6.037069847490784E+002,5.5708268E-005
6.038069847465522E+002,5.4817210E-005
6.039069847440260E+002,5.4689914E-005
6.040069847414998E+002,5.4817210E-005
6.041069847389736E+002,5.4117092E-005
6.042069847364473E+002,5.4117092E-005
6.043069847339211E+002,5.4435324E-005
6.044069847313949E+002,5.4180742E-005
6.045069847288687E+002,5.4053446E-005
6.046069847263425E+002,5.4244385E-005
6.047069847238163E+002,5.4053446E-005
6.048069847212901E+002,5.3544270E-005
6.049069847187639E+002,5.4180742E-005
6.050069847162376E+002,5.3098738E-005
6.051069847137114E+002,5.3480620E-005
6.052069847111852E+002,5.3989803E-005
6.053069847086590E+002,5.3162388E-005
6.054069847061328E+002,5.3926153E-005
6.055069847036066E+002,5.3862503E-005
6.056069847010804E+002,5.3289677E-005
6.057069846985542E+002,5.3353328E-005
6.058069846960279E+002,5.2907799E-005
6.059069846935017E+002,5.2589567E-005
6.060069846909755E+002,5.2907799E-005
6.061069846884493E+002,5.2844152E-005
6.062069846859231E+002,5.2971445E-005
6.063069846833969E+002,5.3098738E-005
6.064069846808707E+002,5.3480620E-005
6.065069846783445E+002,5.2398624E-005
6.066069846758182E+002,5.2780506E-005
6.067069846732920E+002,5.2589567E-005
6.068069846707658E+002,5.2525917E-005
6.069069846682396E+002,5.2653213E-005
6.070069846657134E+002,5.2716856E-005
6.071069846631872E+002,5.2589567E-005
6.072069846606610E+002,5.1507563E-005
6.073069846581348E+002,5.2080388E-005
6.074069846556085E+002,5.2653213E-005
6.075069846530823E+002,5.1252977E-005
6.076069846505561E+002,5.1953091E-005
6.077069846480299E+002,5.2844152E-005
6.078069846455037E+002,5.2716856E-005
6.079069846429775E+002,5.2525917E-005
6.080069846404513E+002,5.1889449E-005
6.081069846379251E+002,5.1698502E-005
6.082069846353988E+002,5.2334974E-005
6.083069846328726E+002,5.2144031E-005
6.084069846303464E+002,5.2016741E-005
6.085069846278202E+002,5.2334974E-005
6.086069846252940E+002,5.1825798E-005
6.087069846227678E+002,5.2207681E-005
6.088069846202416E+002,5.2016741E-005
6.089069846177154E+002,5.1889449E-005
6.090069846151891E+002,5.2080388E-005
6.091069846126629E+002,5.2334974E-005
6.092069846101367E+002,5.2780506E-005
6.093069846076105E+002,5.2653213E-005
6.094069846050843E+002,5.2525917E-005
6.095069846025581E+002,5.2398624E-005
6.096069846000319E+002,5.1571209E-005
6.097069845975057E+002,5.1634859E-005
6.098069845949794E+002,5.1380270E-005
6.099069845924532E+002,5.1634859E-005
6.100069845899270E+002,5.1634859E-005
6.101069845874008E+002,5.1698502E-005
6.102069845848746E+002,5.1571209E-005
6.103069845823484E+002,5.1380270E-005
6.104069845798222E+002,5.1443920E-005
6.105069845772960E+002,5.1825798E-005
6.106069845747697E+002,5.1507563E-005
6.107069845722435E+002,5.1380270E-005
6.108069845697173E+002,5.1762152E-005
6.109069845671911E+002,5.1316623E-005
6.110069845646649E+002,5.1252977E-005
6.111069845621387E+002,5.1953091E-005
6.112069845596125E+002,5.1825798E-005
6.113069845570863E+002,5.1443920E-005
6.114069845545600E+002,5.2080388E-005
6.115069845520338E+002,5.1316623E-005
6.116069845495076E+002,5.1634859E-005
6.117069845469814E+002,5.2271334E-005
6.118069845444552E+002,5.1953091E-005
6.119069845419290E+002,5.1571209E-005
6.120069845394028E+002,5.0552855E-005
6.121069845368766E+002,5.0871091E-005
6.122069845343503E+002,5.2016741E-005
6.123069845318241E+002,5.0934741E-005
6.124069845292979E+002,5.1507563E-005
6.125069845267717E+002,5.0680152E-005
6.126069845242455E+002,4.9916387E-005
6.127069845217193E+002,5.0361916E-005
6.128069845191931E+002,5.0616505E-005
6.129069845166669E+002,5.0298273E-005
6.130069845141406E+002,5.0489212E-005
6.131069845116144E+002,4.9725444E-005
6.132069845090882E+002,5.0425562E-005
6.133069845065620E+002,5.0361916E-005
6.134069845040358E+002,4.9534505E-005
6.135069845015096E+002,4.9661798E-005
6.136069844989834E+002,5.0680152E-005
6.137069844964572E+002,5.0107330E-005
6.138069844939309E+002,5.0234623E-005
6.139069844914047E+002,5.0361916E-005
6.140069844888785E+002,4.9852737E-005
6.141069844863523E+002,5.0170976E-005
6.142069844838261E+002,5.0043676E-005
6.143069844812999E+002,5.0170976E-005
6.144069844787737E+002,4.9852737E-005
6.145069844762475E+002,4.9661798E-005
6.146069844737212E+002,4.9725444E-005
6.147069844711950E+002,4.8643447E-005
6.148069844686688E+002,4.8770740E-005
6.149069844661426E+002,4.8961683E-005
6.150069844636164E+002,4.8516151E-005
6.151069844610902E+002,4.8197919E-005
6.152069844585640E+002,4.8516151E-005
6.153069844560378E+002,4.9088976E-005
6.154069844535115E+002,4.8961683E-005
6.155069844509853E+002,4.7497801E-005
6.156069844484591E+002,4.8834387E-005
6.157069844459329E+002,4.8452508E-005
6.158069844434067E+002,4.7306861E-005
6.159069844408805E+002,4.8643447E-005
6.160069844383543E+002,4.8261561E-005
6.161069844358281E+002,4.8070622E-005
6.162069844333018E+002,4.8834387E-005
6.163069844307756E+002,4.7497801E-005
6.164069844282494E+002,4.8325212E-005
6.165069844257232E+002,4.8452508E-005
6.166069844231970E+002,4.8516151E-005
6.167069844206708E+002,4.8134269E-005
6.168069844181446E+002,4.8070622E-005
6.169069844156184E+002,4.8707090E-005
6.170069844130921E+002,4.8388858E-005
6.171069844105659E+002,4.8070622E-005
6.172069844080397E+002,4.8070622E-005
6.173069844055135E+002,4.8643447E-005
6.174069844029873E+002,4.7370504E-005
6.175069844004611E+002,4.7370504E-005
6.176069843979349E+002,4.7497801E-005
6.177069843954087E+002,4.7816036E-005
6.178069843928824E+002,4.7816036E-005
6.179069843903562E+002,4.8006976E-005
6.180069843878300E+002,4.8197919E-005
6.181069843853038E+002,4.7752383E-005
6.182069843827776E+002,4.7497801E-005
6.183069843802514E+002,4.7752383E-005
6.184069843777252E+002,4.6988622E-005
6.185069843751990E+002,4.7370504E-005
6.186069843726727E+002,4.7497801E-005
6.187069843701465E+002,4.7370504E-005
6.188069843676203E+002,4.8006976E-005
6.189069843650941E+002,4.8070622E-005
6.190069843625679E+002,4.8006976E-005
6.191069843600417E+002,4.8261561E-005
6.192069843575155E+002,4.7688740E-005
6.193069843549893E+002,4.8070622E-005
6.194069843524630E+002,4.8134269E-005
6.195069843499368E+002,4.7497801E-005
6.196069843474106E+002,4.7752383E-005
6.197069843448844E+002,4.7943329E-005
6.198069843423582E+002,4.8325212E-005
6.199069843398320E+002,4.7115915E-005
6.200069843373058E+002,4.7434150E-005
6.201069843347796E+002,4.7816036E-005
6.202069843322533E+002,4.7370504E-005
6.203069843297271E+002,4.7434150E-005
6.204069843272009E+002,4.8707090E-005
6.205069843246747E+002,4.7561443E-005
6.206069843221485E+002,4.7625093E-005
6.207069843196223E+002,4.7879679E-005
6.208069843170961E+002,4.7561443E-005
6.209069843145699E+002,4.7625093E-005
6.210069843120436E+002,4.7879679E-005
6.211069843095174E+002,4.7625093E-005
6.212069843069912E+002,4.7943329E-005
6.213069843044650E+002,4.9407208E-005
6.214069843019388E+002,4.8707090E-005
6.215069842994126E+002,4.8961683E-005
6.216069842968864E+002,4.8898029E-005
6.217069842943602E+002,4.8961683E-005
6.218069842918339E+002,4.8643447E-005
6.219069842893077E+002,4.9852737E-005
6.220069842867815E+002,4.9088976E-005
6.221069842842553E+002,4.9980034E-005
6.222069842817291E+002,4.9343565E-005
6.223069842792029E+002,4.9216269E-005
6.224069842766767E+002,4.8643447E-005
6.225069842741505E+002,4.9534505E-005
6.226069842716242E+002,4.9343565E-005
6.227069842690980E+002,4.8325212E-005
6.228069842665718E+002,4.8643447E-005
6.229069842640456E+002,4.8770740E-005
6.230069842615194E+002,4.8898029E-005
6.231069842589932E+002,4.9152626E-005
6.232069842564670E+002,4.8961683E-005
6.233069842539408E+002,4.9534505E-005
6.234069842514145E+002,4.8388858E-005
6.235069842488883E+002,4.9598155E-005
6.236069842463621E+002,4.7879679E-005
6.237069842438359E+002,4.9534505E-005
6.238069842413097E+002,4.8707090E-005
6.239069842387835E+002,4.9852737E-005
6.240069842362573E+002,4.9534505E-005
6.241069842337311E+002,5.0043676E-005
6.242069842312048E+002,5.0170976E-005
6.243069842286786E+002,4.9980034E-005
6.244069842261524E+002,5.0743802E-005
6.245069842236262E+002,4.9789094E-005
6.246069842211000E+002,5.0680152E-005
6.247069842185738E+002,5.0361916E-005
6.248069842160476E+002,5.0552855E-005
6.249069842135214E+002,4.9407208E-005
6.250069842109951E+002,4.9789094E-005
6.251069842084689E+002,5.0680152E-005
6.252069842059427E+002,5.0170976E-005
6.253069842034165E+002,4.9534505E-005
6.254069842008903E+002,5.0043676E-005
6.255069841983641E+002,4.9598155E-005
6.256069841958379E+002,4.9789094E-005
6.257069841933117E+002,5.0616505E-005
6.258069841907854E+002,5.0361916E-005
6.259069841882592E+002,4.9725444E-005
6.260069841857330E+002,5.0234623E-005
6.261069841832068E+002,4.9725444E-005
6.262069841806806E+002,5.0361916E-005
6.263069841781544E+002,4.9789094E-005
6.264069841756282E+002,5.0743802E-005
6.265069841731020E+002,5.1062034E-005
6.266069841705757E+002,5.0998384E-005
6.267069841680495E+002,5.0743802E-005
6.268069841655233E+002,5.0489212E-005
6.269069841629971E+002,5.0807444E-005
6.270069841604709E+002,5.1380270E-005
6.271069841579447E+002,5.0871091E-005
6.272069841554185E+002,5.0234623E-005
6.273069841528923E+002,5.1062034E-005
6.274069841503660E+002,5.0489212E-005
6.275069841478398E+002,5.0934741E-005
6.276069841453136E+002,5.0807444E-005
6.277069841427874E+002,5.0107330E-005
6.278069841402612E+002,4.9916387E-005
6.279069841377350E+002,4.9852737E-005
6.280069841352088E+002,5.0552855E-005
6.281069841326826E+002,4.9598155E-005
6.282069841301563E+002,4.9216269E-005
6.283069841276301E+002,4.9725444E-005
6.284069841251039E+002,4.9661798E-005
6.285069841225777E+002,4.9852737E-005
6.286069841200515E+002,4.9598155E-005
6.287069841175253E+002,4.9534505E-005
6.288069841149991E+002,4.9152626E-005
6.289069841124729E+002,4.9598155E-005
6.290069841099466E+002,5.0170976E-005
6.291069841074204E+002,5.0998384E-005
6.292069841048942E+002,5.0298273E-005
6.293069841023680E+002,5.0489212E-005
6.294069840998418E+002,5.0743802E-005
6.295069840973156E+002,5.0680152E-005
6.296069840947894E+002,5.0680152E-005
6.297069840922632E+002,5.0234623E-005
6.298069840897369E+002,5.0616505E-005
6.299069840872107E+002,5.0234623E-005
6.300069840846845E+002,5.0489212E-005
6.301069840821583E+002,5.0107330E-005
6.302069840796321E+002,4.9852737E-005
6.303069840771059E+002,4.9725444E-005
6.304069840745797E+002,4.9916387E-005
6.305069840720535E+002,4.9407208E-005
6.306069840695272E+002,4.9152626E-005
6.307069840670010E+002,5.0743802E-005
6.308069840644748E+002,5.0043676E-005
6.309069840619486E+002,4.9407208E-005
6.310069840594224E+002,4.9470858E-005
6.311069840568962E+002,4.9025326E-005
6.312069840543700E+002,4.9916387E-005
6.313069840518438E+002,4.9534505E-005
6.314069840493175E+002,4.9152626E-005
6.315069840467913E+002,5.0107330E-005
6.316069840442651E+002,5.0361916E-005
6.317069840417389E+002,5.0807444E-005
6.318069840392127E+002,5.0298273E-005
6.319069840366865E+002,5.0680152E-005
6.320069840341603E+002,4.9789094E-005
6.321069840316341E+002,5.0552855E-005
6.322069840291078E+002,5.0043676E-005
6.323069840265816E+002,5.0743802E-005
6.324069840240554E+002,5.0871091E-005
6.325069840215292E+002,5.0361916E-005
6.326069840190030E+002,5.0743802E-005
6.327069840164768E+002,5.0234623E-005
6.328069840139506E+002,4.9598155E-005
6.329069840114244E+002,4.9916387E-005
6.330069840088981E+002,4.9852737E-005
6.331069840063719E+002,5.1062034E-005
6.332069840038457E+002,4.9725444E-005
6.333069840013195E+002,5.0361916E-005
6.334069839987933E+002,5.0425562E-005
6.335069839962671E+002,5.0170976E-005
6.336069839937409E+002,5.0743802E-005
6.337069839912147E+002,5.0298273E-005
6.338069839886884E+002,5.0680152E-005
6.339069839861622E+002,5.0489212E-005
6.340069839836360E+002,5.0998384E-005
6.341069839811098E+002,5.1316623E-005
6.342069839785836E+002,5.0743802E-005
6.343069839760574E+002,5.1316623E-005
6.344069839735312E+002,5.1062034E-005
6.345069839710050E+002,5.1125680E-005
6.346069839684787E+002,5.0998384E-005
6.347069839659525E+002,5.2207681E-005
6.348069839634263E+002,5.1889449E-005
6.349069839609001E+002,5.2080388E-005
6.350069839583739E+002,5.1380270E-005
6.351069839558477E+002,5.1316623E-005
6.352069839533215E+002,5.2398624E-005
6.353069839507953E+002,5.1252977E-005
6.354069839482690E+002,5.1316623E-005
6.355069839457428E+002,5.0998384E-005
6.356069839432166E+002,5.1062034E-005
6.357069839406904E+002,5.1571209E-005
6.358069839381642E+002,5.1571209E-005
6.359069839356380E+002,5.1634859E-005
6.360069839331118E+002,5.1889449E-005
6.361069839305856E+002,5.2334974E-005
6.362069839280593E+002,5.2080388E-005
6.363069839255331E+002,5.2080388E-005
6.364069839230069E+002,5.1380270E-005
6.365069839204807E+002,5.2653213E-005
6.366069839179545E+002,5.1953091E-005
6.367069839154283E+002,5.2398624E-005
6.368069839129021E+002,5.2334974E-005
6.369069839103759E+002,5.2780506E-005
6.370069839078496E+002,5.3544270E-005
6.371069839053234E+002,5.3226035E-005
6.372069839027972E+002,5.3098738E-005
6.373069839002710E+002,5.3480620E-005
6.374069838977448E+002,5.2207681E-005
6.375069838952186E+002,5.2907799E-005
6.376069838926924E+002,5.2016741E-005
6.377069838901662E+002,5.1953091E-005
6.378069838876399E+002,5.2398624E-005
6.379069838851137E+002,5.2271334E-005
6.380069838825875E+002,5.2207681E-005
6.381069838800613E+002,5.2398624E-005
6.382069838775351E+002,5.2398624E-005
6.383069838750089E+002,5.2462274E-005
6.384069838724827E+002,5.2844152E-005
6.385069838699565E+002,5.2525917E-005
6.386069838674302E+002,5.2716856E-005
6.387069838649040E+002,5.2844152E-005
6.388069838623778E+002,5.3226035E-005
6.389069838598516E+002,5.3544270E-005
6.390069838573254E+002,5.2589567E-005
6.391069838547992E+002,5.3416974E-005
6.392069838522730E+002,5.2907799E-005
6.393069838497468E+002,5.3035095E-005
6.394069838472205E+002,5.2971445E-005
6.395069838446943E+002,5.3226035E-005
6.396069838421681E+002,5.3353328E-005
6.397069838396419E+002,5.4308035E-005
6.398069838371157E+002,5.4180742E-005
6.399069838345895E+002,5.3416974E-005
6.400069838320633E+002,5.4371681E-005
6.401069838295371E+002,5.3989803E-005
6.402069838270108E+002,5.4180742E-005
6.403069838244846E+002,5.4053446E-005
6.404069838219584E+002,5.3226035E-005
6.405069838194322E+002,5.3798860E-005
6.406069838169060E+002,5.4117092E-005
6.407069838143798E+002,5.4626267E-005
6.408069838118536E+002,5.3480620E-005
6.409069838093274E+002,5.3862503E-005
6.410069838068011E+002,5.4244385E-005
6.411069838042749E+002,5.3544270E-005
6.412069838017487E+002,5.4244385E-005
6.413069837992225E+002,5.4053446E-005
6.414069837966963E+002,5.4435324E-005
6.415069837941701E+002,5.3671563E-005
6.416069837916439E+002,5.5199092E-005
6.417069837891177E+002,5.4753567E-005
6.418069837865914E+002,5.5453682E-005
6.419069837840652E+002,5.4944507E-005
6.420069837815390E+002,5.4689914E-005
6.421069837790128E+002,5.5390032E-005
6.422069837764866E+002,5.5390032E-005
6.423069837739604E+002,5.5962857E-005
6.424069837714342E+002,5.5453682E-005
6.425069837689080E+002,5.5771914E-005
6.426069837663817E+002,5.5008153E-005
6.427069837638555E+002,5.5262739E-005
6.428069837613293E+002,5.5262739E-005
6.429069837588031E+002,5.4435324E-005
6.430069837562769E+002,5.5135450E-005
6.431069837537507E+002,5.3926153E-005
6.432069837512245E+002,5.4435324E-005
6.433069837486983E+002,5.4053446E-005
6.434069837461720E+002,5.5580971E-005
6.435069837436458E+002,5.5008153E-005
6.436069837411196E+002,5.4944507E-005
6.437069837385934E+002,5.4753567E-005
6.438069837360672E+002,5.5199092E-005
6.439069837335410E+002,5.5262739E-005
6.440069837310148E+002,5.4880860E-005
6.441069837284886E+002,5.5262739E-005
6.442069837259623E+002,5.5199092E-005
6.443069837234361E+002,5.5135450E-005
6.444069837209099E+002,5.6153800E-005
6.445069837183837E+002,5.6026507E-005
6.446069837158575E+002,5.6217446E-005
6.447069837133313E+002,5.6090154E-005
6.448069837108051E+002,5.6026507E-005
6.449069837082789E+002,5.6344739E-005
6.450069837057526E+002,5.6408386E-005
6.451069837032264E+002,5.6153800E-005
6.452069837007002E+002,5.6026507E-005
6.453069836981740E+002,5.5517328E-005
6.454069836956478E+002,5.5835560E-005
6.455069836931216E+002,5.5199092E-005
6.456069836905954E+002,5.5453682E-005
6.457069836880692E+002,5.5199092E-005
6.458069836855429E+002,5.5835560E-005
6.459069836830167E+002,5.5199092E-005
6.460069836804905E+002,5.5771914E-005
6.461069836779643E+002,5.5708268E-005
6.462069836754381E+002,5.5517328E-005
6.463069836729119E+002,5.4753567E-005
6.464069836703857E+002,5.6026507E-005
6.465069836678595E+002,5.6344739E-005
6.466069836653332E+002,5.5453682E-005
6.467069836628070E+002,5.6599329E-005
6.468069836602808E+002,5.6535679E-005
6.469069836577546E+002,5.6726618E-005
6.470069836552284E+002,5.6535679E-005
6.471069836527022E+002,5.6917561E-005
6.472069836501760E+002,5.7490386E-005
6.473069836476498E+002,5.6726618E-005
6.474069836451235E+002,5.8572390E-005
6.475069836425973E+002,5.7808622E-005
6.476069836400711E+002,5.6981207E-005
6.477069836375449E+002,5.8063208E-005
6.478069836350187E+002,5.7999565E-005
6.479069836324925E+002,5.7172154E-005
6.480069836299663E+002,5.7044861E-005
6.481069836274401E+002,5.7554033E-005
6.482069836249138E+002,5.7108500E-005
6.483069836223876E+002,5.7554033E-005
6.484069836198614E+002,5.6917561E-005
6.485069836173352E+002,5.7044861E-005
6.486069836148090E+002,5.6790268E-005
6.487069836122828E+002,5.7744975E-005
6.488069836097566E+002,5.7426743E-005
6.489069836072304E+002,5.7235800E-005
6.490069836047041E+002,5.7108500E-005
6.491069836021779E+002,5.6790268E-005
6.492069835996517E+002,5.7363093E-005
6.493069835971255E+002,5.7554033E-005
6.494069835945993E+002,5.7617683E-005
6.495069835920731E+002,5.7363093E-005
6.496069835895469E+002,5.8126854E-005
6.497069835870207E+002,5.8508740E-005
6.498069835844944E+002,5.8445094E-005
6.499069835819682E+002,5.9081562E-005
6.500069835794420E+002,5.8826972E-005
6.501069835769158E+002,5.8572390E-005
6.502069835743896E+002,5.9654387E-005
6.503069835718634E+002,5.8063208E-005
6.504069835693372E+002,5.8381447E-005
6.505069835668110E+002,5.8317801E-005
6.506069835642847E+002,5.8763329E-005
6.507069835617585E+002,5.8126854E-005
6.508069835592323E+002,5.7808622E-005
